zone,state,distance_km,risk_level,description
Bhopal,Madhya Pradesh,394,Low,Low-risk region
Chennai,Tamil Nadu,796,Moderate,Moderate travel area
Pune,Maharashtra,1145,High,Remote or high-distance area
Bhubaneswar,Odisha,739,Moderate,Moderate travel area
Guwahati,Assam,142,Low,Low-risk region
Bhubaneswar,Odisha,116,Low,Low-risk region
Indore,Madhya Pradesh,1489,High,Remote or high-distance area
Bengaluru,Karnataka,1261,High,Remote or high-distance area
Amritsar,Punjab,1048,High,Remote or high-distance area
Varanasi,Uttar Pradesh,544,Moderate,Moderate travel area
Mumbai,Maharashtra,590,Moderate,Moderate travel area
Goa,Goa,1054,High,Remote or high-distance area
Chennai,Tamil Nadu,888,Moderate,Moderate travel area
Surat,Gujarat,586,Moderate,Moderate travel area
Mumbai,Maharashtra,315,Low,Low-risk region
Varanasi,Uttar Pradesh,518,Moderate,Moderate travel area
Shimla,Himachal Pradesh,551,Moderate,Moderate travel area
Dehradun,Uttarakhand,767,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,486,Low,Low-risk region
Patna,Bihar,583,Moderate,Moderate travel area
Chennai,Tamil Nadu,1331,High,Remote or high-distance area
Pune,Maharashtra,521,Moderate,Moderate travel area
Patna,Bihar,971,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,318,Low,Low-risk region
Jaipur,Rajasthan,71,Low,Low-risk region
Raipur,Chhattisgarh,582,Moderate,Moderate travel area
Jodhpur,Rajasthan,860,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1386,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1202,High,Remote or high-distance area
Kolkata,West Bengal,329,Low,Low-risk region
Mumbai,Maharashtra,643,Moderate,Moderate travel area
Agra,Uttar Pradesh,842,Moderate,Moderate travel area
Pune,Maharashtra,417,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1420,High,Remote or high-distance area
Chandigarh,Chandigarh,499,Low,Low-risk region
Ranchi,Jharkhand,383,Low,Low-risk region
Dehradun,Uttarakhand,1072,High,Remote or high-distance area
Goa,Goa,1149,High,Remote or high-distance area
Agra,Uttar Pradesh,974,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1348,High,Remote or high-distance area
Bengaluru,Karnataka,1119,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,839,Moderate,Moderate travel area
Patna,Bihar,266,Low,Low-risk region
Chandigarh,Chandigarh,1043,High,Remote or high-distance area
Thiruvananthapuram,Kerala,444,Low,Low-risk region
Goa,Goa,326,Low,Low-risk region
Manali,Himachal Pradesh,325,Low,Low-risk region
Lucknow,Uttar Pradesh,115,Low,Low-risk region
Pune,Maharashtra,1099,High,Remote or high-distance area
Chennai,Tamil Nadu,1324,High,Remote or high-distance area
Raipur,Chhattisgarh,490,Low,Low-risk region
Chennai,Tamil Nadu,343,Low,Low-risk region
Jodhpur,Rajasthan,817,Moderate,Moderate travel area
Chandigarh,Chandigarh,1400,High,Remote or high-distance area
Manali,Himachal Pradesh,612,Moderate,Moderate travel area
Kolkata,West Bengal,1384,High,Remote or high-distance area
New Delhi,Delhi,623,Moderate,Moderate travel area
Surat,Gujarat,1261,High,Remote or high-distance area
Indore,Madhya Pradesh,352,Low,Low-risk region
Jaipur,Rajasthan,1256,High,Remote or high-distance area
Raipur,Chhattisgarh,740,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1079,High,Remote or high-distance area
Goa,Goa,1399,High,Remote or high-distance area
Patna,Bihar,935,Moderate,Moderate travel area
Bhubaneswar,Odisha,786,Moderate,Moderate travel area
Chandigarh,Chandigarh,664,Moderate,Moderate travel area
Bengaluru,Karnataka,818,Moderate,Moderate travel area
Jodhpur,Rajasthan,931,Moderate,Moderate travel area
Raipur,Chhattisgarh,1102,High,Remote or high-distance area
Patna,Bihar,1005,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1215,High,Remote or high-distance area
New Delhi,Delhi,997,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,657,Moderate,Moderate travel area
Manali,Himachal Pradesh,446,Low,Low-risk region
Jodhpur,Rajasthan,198,Low,Low-risk region
Guwahati,Assam,1432,High,Remote or high-distance area
Patna,Bihar,629,Moderate,Moderate travel area
Dehradun,Uttarakhand,316,Low,Low-risk region
Manali,Himachal Pradesh,175,Low,Low-risk region
Patna,Bihar,403,Low,Low-risk region
Ranchi,Jharkhand,580,Moderate,Moderate travel area
Kolkata,West Bengal,1427,High,Remote or high-distance area
Shimla,Himachal Pradesh,1071,High,Remote or high-distance area
Goa,Goa,860,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,707,Moderate,Moderate travel area
Surat,Gujarat,711,Moderate,Moderate travel area
Guwahati,Assam,1036,High,Remote or high-distance area
Pune,Maharashtra,360,Low,Low-risk region
Kolkata,West Bengal,1426,High,Remote or high-distance area
Mumbai,Maharashtra,1039,High,Remote or high-distance area
Mumbai,Maharashtra,184,Low,Low-risk region
Chandigarh,Chandigarh,1008,High,Remote or high-distance area
Shimla,Himachal Pradesh,360,Low,Low-risk region
Agra,Uttar Pradesh,1420,High,Remote or high-distance area
Manali,Himachal Pradesh,1096,High,Remote or high-distance area
Surat,Gujarat,484,Low,Low-risk region
Raipur,Chhattisgarh,259,Low,Low-risk region
Ranchi,Jharkhand,1269,High,Remote or high-distance area
Hyderabad,Telangana,1286,High,Remote or high-distance area
Chandigarh,Chandigarh,613,Moderate,Moderate travel area
Raipur,Chhattisgarh,996,Moderate,Moderate travel area
Jodhpur,Rajasthan,196,Low,Low-risk region
Bengaluru,Karnataka,162,Low,Low-risk region
Bhopal,Madhya Pradesh,878,Moderate,Moderate travel area
Indore,Madhya Pradesh,753,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,446,Low,Low-risk region
Jaipur,Rajasthan,1124,High,Remote or high-distance area
Surat,Gujarat,463,Low,Low-risk region
Raipur,Chhattisgarh,200,Low,Low-risk region
Patna,Bihar,807,Moderate,Moderate travel area
Guwahati,Assam,813,Moderate,Moderate travel area
Surat,Gujarat,1354,High,Remote or high-distance area
New Delhi,Delhi,760,Moderate,Moderate travel area
Nagpur,Maharashtra,760,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1484,High,Remote or high-distance area
Lucknow,Uttar Pradesh,301,Low,Low-risk region
Bhubaneswar,Odisha,969,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,747,Moderate,Moderate travel area
Raipur,Chhattisgarh,372,Low,Low-risk region
Thiruvananthapuram,Kerala,1459,High,Remote or high-distance area
Ahmedabad,Gujarat,748,Moderate,Moderate travel area
Bengaluru,Karnataka,1269,High,Remote or high-distance area
New Delhi,Delhi,129,Low,Low-risk region
Ranchi,Jharkhand,1036,High,Remote or high-distance area
Chennai,Tamil Nadu,548,Moderate,Moderate travel area
Guwahati,Assam,1021,High,Remote or high-distance area
Chennai,Tamil Nadu,1256,High,Remote or high-distance area
Guwahati,Assam,783,Moderate,Moderate travel area
Amritsar,Punjab,981,Moderate,Moderate travel area
Guwahati,Assam,605,Moderate,Moderate travel area
Indore,Madhya Pradesh,995,Moderate,Moderate travel area
Kolkata,West Bengal,172,Low,Low-risk region
Bhopal,Madhya Pradesh,1093,High,Remote or high-distance area
Goa,Goa,773,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,163,Low,Low-risk region
Raipur,Chhattisgarh,341,Low,Low-risk region
Nagpur,Maharashtra,103,Low,Low-risk region
Dehradun,Uttarakhand,1470,High,Remote or high-distance area
Pune,Maharashtra,1424,High,Remote or high-distance area
Chennai,Tamil Nadu,1241,High,Remote or high-distance area
Bengaluru,Karnataka,371,Low,Low-risk region
Amritsar,Punjab,1199,High,Remote or high-distance area
Bhopal,Madhya Pradesh,906,Moderate,Moderate travel area
Patna,Bihar,756,Moderate,Moderate travel area
Bhubaneswar,Odisha,173,Low,Low-risk region
Shimla,Himachal Pradesh,1494,High,Remote or high-distance area
Patna,Bihar,746,Moderate,Moderate travel area
Agra,Uttar Pradesh,132,Low,Low-risk region
Dehradun,Uttarakhand,897,Moderate,Moderate travel area
Kolkata,West Bengal,796,Moderate,Moderate travel area
Bhubaneswar,Odisha,65,Low,Low-risk region
Bengaluru,Karnataka,178,Low,Low-risk region
Chandigarh,Chandigarh,875,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,965,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,75,Low,Low-risk region
Amritsar,Punjab,1210,High,Remote or high-distance area
Goa,Goa,1341,High,Remote or high-distance area
Nagpur,Maharashtra,812,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1146,High,Remote or high-distance area
Raipur,Chhattisgarh,931,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,455,Low,Low-risk region
Pune,Maharashtra,523,Moderate,Moderate travel area
Goa,Goa,532,Moderate,Moderate travel area
Bengaluru,Karnataka,327,Low,Low-risk region
Hyderabad,Telangana,79,Low,Low-risk region
Ahmedabad,Gujarat,1382,High,Remote or high-distance area
Bhopal,Madhya Pradesh,297,Low,Low-risk region
Indore,Madhya Pradesh,174,Low,Low-risk region
Chennai,Tamil Nadu,1269,High,Remote or high-distance area
Raipur,Chhattisgarh,373,Low,Low-risk region
Goa,Goa,474,Low,Low-risk region
Shimla,Himachal Pradesh,496,Low,Low-risk region
Guwahati,Assam,238,Low,Low-risk region
Agra,Uttar Pradesh,1076,High,Remote or high-distance area
Bengaluru,Karnataka,1260,High,Remote or high-distance area
Agra,Uttar Pradesh,1497,High,Remote or high-distance area
Raipur,Chhattisgarh,264,Low,Low-risk region
Manali,Himachal Pradesh,269,Low,Low-risk region
Ranchi,Jharkhand,800,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,669,Moderate,Moderate travel area
Goa,Goa,100,Low,Low-risk region
Guwahati,Assam,768,Moderate,Moderate travel area
Jodhpur,Rajasthan,290,Low,Low-risk region
Jaipur,Rajasthan,229,Low,Low-risk region
Bengaluru,Karnataka,600,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1292,High,Remote or high-distance area
Varanasi,Uttar Pradesh,69,Low,Low-risk region
Pune,Maharashtra,390,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1185,High,Remote or high-distance area
Kolkata,West Bengal,1403,High,Remote or high-distance area
Mumbai,Maharashtra,1199,High,Remote or high-distance area
Mumbai,Maharashtra,386,Low,Low-risk region
Jaipur,Rajasthan,861,Moderate,Moderate travel area
Surat,Gujarat,1293,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1068,High,Remote or high-distance area
Amritsar,Punjab,483,Low,Low-risk region
Patna,Bihar,512,Moderate,Moderate travel area
Raipur,Chhattisgarh,300,Low,Low-risk region
Guwahati,Assam,918,Moderate,Moderate travel area
Surat,Gujarat,602,Moderate,Moderate travel area
Agra,Uttar Pradesh,949,Moderate,Moderate travel area
Nagpur,Maharashtra,412,Low,Low-risk region
Patna,Bihar,306,Low,Low-risk region
Thiruvananthapuram,Kerala,1469,High,Remote or high-distance area
Surat,Gujarat,1038,High,Remote or high-distance area
Kolkata,West Bengal,901,Moderate,Moderate travel area
Agra,Uttar Pradesh,1135,High,Remote or high-distance area
Thiruvananthapuram,Kerala,538,Moderate,Moderate travel area
Agra,Uttar Pradesh,1461,High,Remote or high-distance area
Patna,Bihar,270,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1066,High,Remote or high-distance area
Ahmedabad,Gujarat,429,Low,Low-risk region
Mumbai,Maharashtra,65,Low,Low-risk region
Guwahati,Assam,1106,High,Remote or high-distance area
Amritsar,Punjab,347,Low,Low-risk region
New Delhi,Delhi,755,Moderate,Moderate travel area
Shimla,Himachal Pradesh,914,Moderate,Moderate travel area
Jodhpur,Rajasthan,1217,High,Remote or high-distance area
Ranchi,Jharkhand,1002,High,Remote or high-distance area
Goa,Goa,1216,High,Remote or high-distance area
Chennai,Tamil Nadu,946,Moderate,Moderate travel area
Mumbai,Maharashtra,1450,High,Remote or high-distance area
Mumbai,Maharashtra,113,Low,Low-risk region
Jaipur,Rajasthan,1334,High,Remote or high-distance area
Shimla,Himachal Pradesh,63,Low,Low-risk region
Manali,Himachal Pradesh,1208,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,543,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1397,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1010,High,Remote or high-distance area
Bengaluru,Karnataka,1039,High,Remote or high-distance area
Patna,Bihar,273,Low,Low-risk region
Chandigarh,Chandigarh,1031,High,Remote or high-distance area
Bengaluru,Karnataka,876,Moderate,Moderate travel area
Ahmedabad,Gujarat,1342,High,Remote or high-distance area
Nagpur,Maharashtra,563,Moderate,Moderate travel area
Nagpur,Maharashtra,290,Low,Low-risk region
Amritsar,Punjab,380,Low,Low-risk region
Ahmedabad,Gujarat,1383,High,Remote or high-distance area
Goa,Goa,1455,High,Remote or high-distance area
Goa,Goa,1340,High,Remote or high-distance area
Agra,Uttar Pradesh,417,Low,Low-risk region
Hyderabad,Telangana,798,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,773,Moderate,Moderate travel area
New Delhi,Delhi,1045,High,Remote or high-distance area
Chandigarh,Chandigarh,702,Moderate,Moderate travel area
Mumbai,Maharashtra,1450,High,Remote or high-distance area
Shimla,Himachal Pradesh,699,Moderate,Moderate travel area
Patna,Bihar,436,Low,Low-risk region
Patna,Bihar,502,Moderate,Moderate travel area
Manali,Himachal Pradesh,53,Low,Low-risk region
Ranchi,Jharkhand,821,Moderate,Moderate travel area
Pune,Maharashtra,811,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,950,Moderate,Moderate travel area
Indore,Madhya Pradesh,1210,High,Remote or high-distance area
Guwahati,Assam,1378,High,Remote or high-distance area
Amritsar,Punjab,289,Low,Low-risk region
Jaipur,Rajasthan,688,Moderate,Moderate travel area
Ranchi,Jharkhand,563,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,733,Moderate,Moderate travel area
Nagpur,Maharashtra,280,Low,Low-risk region
Kolkata,West Bengal,819,Moderate,Moderate travel area
Chennai,Tamil Nadu,588,Moderate,Moderate travel area
Pune,Maharashtra,200,Low,Low-risk region
Thiruvananthapuram,Kerala,393,Low,Low-risk region
Shimla,Himachal Pradesh,619,Moderate,Moderate travel area
Pune,Maharashtra,1493,High,Remote or high-distance area
Surat,Gujarat,587,Moderate,Moderate travel area
Jodhpur,Rajasthan,704,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1233,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1429,High,Remote or high-distance area
Manali,Himachal Pradesh,437,Low,Low-risk region
Varanasi,Uttar Pradesh,958,Moderate,Moderate travel area
Bhubaneswar,Odisha,177,Low,Low-risk region
Varanasi,Uttar Pradesh,431,Low,Low-risk region
Manali,Himachal Pradesh,403,Low,Low-risk region
Chandigarh,Chandigarh,433,Low,Low-risk region
Bhopal,Madhya Pradesh,539,Moderate,Moderate travel area
Mumbai,Maharashtra,502,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1192,High,Remote or high-distance area
Dehradun,Uttarakhand,1140,High,Remote or high-distance area
Agra,Uttar Pradesh,1430,High,Remote or high-distance area
Jodhpur,Rajasthan,1323,High,Remote or high-distance area
Indore,Madhya Pradesh,180,Low,Low-risk region
Chandigarh,Chandigarh,347,Low,Low-risk region
Chennai,Tamil Nadu,326,Low,Low-risk region
Goa,Goa,1348,High,Remote or high-distance area
Surat,Gujarat,1231,High,Remote or high-distance area
Dehradun,Uttarakhand,1156,High,Remote or high-distance area
Patna,Bihar,556,Moderate,Moderate travel area
Pune,Maharashtra,1167,High,Remote or high-distance area
Jaipur,Rajasthan,931,Moderate,Moderate travel area
Dehradun,Uttarakhand,1187,High,Remote or high-distance area
Surat,Gujarat,1130,High,Remote or high-distance area
Hyderabad,Telangana,713,Moderate,Moderate travel area
Surat,Gujarat,725,Moderate,Moderate travel area
Bhubaneswar,Odisha,290,Low,Low-risk region
Chandigarh,Chandigarh,1458,High,Remote or high-distance area
Kolkata,West Bengal,586,Moderate,Moderate travel area
Patna,Bihar,94,Low,Low-risk region
Hyderabad,Telangana,1200,High,Remote or high-distance area
Mumbai,Maharashtra,724,Moderate,Moderate travel area
Amritsar,Punjab,175,Low,Low-risk region
Pune,Maharashtra,759,Moderate,Moderate travel area
Amritsar,Punjab,808,Moderate,Moderate travel area
Jaipur,Rajasthan,578,Moderate,Moderate travel area
Pune,Maharashtra,1482,High,Remote or high-distance area
Shimla,Himachal Pradesh,1271,High,Remote or high-distance area
Goa,Goa,322,Low,Low-risk region
Surat,Gujarat,768,Moderate,Moderate travel area
Surat,Gujarat,711,Moderate,Moderate travel area
Raipur,Chhattisgarh,403,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1493,High,Remote or high-distance area
Indore,Madhya Pradesh,1178,High,Remote or high-distance area
Bhopal,Madhya Pradesh,972,Moderate,Moderate travel area
Raipur,Chhattisgarh,507,Moderate,Moderate travel area
Manali,Himachal Pradesh,631,Moderate,Moderate travel area
Shimla,Himachal Pradesh,412,Low,Low-risk region
Bengaluru,Karnataka,334,Low,Low-risk region
Ranchi,Jharkhand,729,Moderate,Moderate travel area
Jodhpur,Rajasthan,98,Low,Low-risk region
Surat,Gujarat,242,Low,Low-risk region
Lucknow,Uttar Pradesh,1354,High,Remote or high-distance area
Pune,Maharashtra,1041,High,Remote or high-distance area
Chandigarh,Chandigarh,1387,High,Remote or high-distance area
Patna,Bihar,653,Moderate,Moderate travel area
Hyderabad,Telangana,1413,High,Remote or high-distance area
Jodhpur,Rajasthan,1383,High,Remote or high-distance area
Amritsar,Punjab,855,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,931,Moderate,Moderate travel area
Raipur,Chhattisgarh,1408,High,Remote or high-distance area
Agra,Uttar Pradesh,1089,High,Remote or high-distance area
Goa,Goa,332,Low,Low-risk region
Manali,Himachal Pradesh,558,Moderate,Moderate travel area
Pune,Maharashtra,78,Low,Low-risk region
Amritsar,Punjab,962,Moderate,Moderate travel area
Agra,Uttar Pradesh,306,Low,Low-risk region
Dehradun,Uttarakhand,1377,High,Remote or high-distance area
Ahmedabad,Gujarat,924,Moderate,Moderate travel area
Agra,Uttar Pradesh,795,Moderate,Moderate travel area
Mumbai,Maharashtra,834,Moderate,Moderate travel area
Raipur,Chhattisgarh,493,Low,Low-risk region
Varanasi,Uttar Pradesh,1275,High,Remote or high-distance area
Varanasi,Uttar Pradesh,640,Moderate,Moderate travel area
Raipur,Chhattisgarh,146,Low,Low-risk region
Patna,Bihar,519,Moderate,Moderate travel area
Amritsar,Punjab,668,Moderate,Moderate travel area
Dehradun,Uttarakhand,51,Low,Low-risk region
Raipur,Chhattisgarh,839,Moderate,Moderate travel area
Surat,Gujarat,411,Low,Low-risk region
Indore,Madhya Pradesh,1175,High,Remote or high-distance area
Hyderabad,Telangana,890,Moderate,Moderate travel area
Pune,Maharashtra,1327,High,Remote or high-distance area
Agra,Uttar Pradesh,1237,High,Remote or high-distance area
Guwahati,Assam,979,Moderate,Moderate travel area
Ahmedabad,Gujarat,286,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,546,Moderate,Moderate travel area
Dehradun,Uttarakhand,1265,High,Remote or high-distance area
Patna,Bihar,1006,High,Remote or high-distance area
Manali,Himachal Pradesh,1093,High,Remote or high-distance area
Jaipur,Rajasthan,796,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,600,Moderate,Moderate travel area
Bengaluru,Karnataka,503,Moderate,Moderate travel area
Surat,Gujarat,196,Low,Low-risk region
Dehradun,Uttarakhand,902,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,277,Low,Low-risk region
Surat,Gujarat,777,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1278,High,Remote or high-distance area
Patna,Bihar,1043,High,Remote or high-distance area
Ahmedabad,Gujarat,210,Low,Low-risk region
Chandigarh,Chandigarh,1148,High,Remote or high-distance area
Patna,Bihar,1371,High,Remote or high-distance area
Chandigarh,Chandigarh,901,Moderate,Moderate travel area
Bengaluru,Karnataka,842,Moderate,Moderate travel area
Dehradun,Uttarakhand,1038,High,Remote or high-distance area
Indore,Madhya Pradesh,53,Low,Low-risk region
Amritsar,Punjab,774,Moderate,Moderate travel area
Indore,Madhya Pradesh,416,Low,Low-risk region
Surat,Gujarat,1487,High,Remote or high-distance area
Jodhpur,Rajasthan,331,Low,Low-risk region
Nagpur,Maharashtra,592,Moderate,Moderate travel area
Raipur,Chhattisgarh,398,Low,Low-risk region
Jodhpur,Rajasthan,381,Low,Low-risk region
Agra,Uttar Pradesh,130,Low,Low-risk region
Bhubaneswar,Odisha,625,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1175,High,Remote or high-distance area
Goa,Goa,182,Low,Low-risk region
New Delhi,Delhi,223,Low,Low-risk region
Ahmedabad,Gujarat,1400,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1341,High,Remote or high-distance area
Mumbai,Maharashtra,671,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1275,High,Remote or high-distance area
Varanasi,Uttar Pradesh,64,Low,Low-risk region
Bhopal,Madhya Pradesh,636,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,948,Moderate,Moderate travel area
Manali,Himachal Pradesh,1250,High,Remote or high-distance area
Jaipur,Rajasthan,190,Low,Low-risk region
Raipur,Chhattisgarh,1481,High,Remote or high-distance area
Lucknow,Uttar Pradesh,808,Moderate,Moderate travel area
Ranchi,Jharkhand,1136,High,Remote or high-distance area
Pune,Maharashtra,947,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1257,High,Remote or high-distance area
Raipur,Chhattisgarh,805,Moderate,Moderate travel area
Bengaluru,Karnataka,1442,High,Remote or high-distance area
Lucknow,Uttar Pradesh,382,Low,Low-risk region
Jaipur,Rajasthan,806,Moderate,Moderate travel area
Hyderabad,Telangana,117,Low,Low-risk region
Mumbai,Maharashtra,220,Low,Low-risk region
Thiruvananthapuram,Kerala,926,Moderate,Moderate travel area
New Delhi,Delhi,159,Low,Low-risk region
Jodhpur,Rajasthan,249,Low,Low-risk region
Varanasi,Uttar Pradesh,768,Moderate,Moderate travel area
Nagpur,Maharashtra,816,Moderate,Moderate travel area
Dehradun,Uttarakhand,1169,High,Remote or high-distance area
Ahmedabad,Gujarat,122,Low,Low-risk region
Shimla,Himachal Pradesh,1208,High,Remote or high-distance area
Agra,Uttar Pradesh,1137,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1257,High,Remote or high-distance area
Raipur,Chhattisgarh,513,Moderate,Moderate travel area
Jodhpur,Rajasthan,1290,High,Remote or high-distance area
Lucknow,Uttar Pradesh,551,Moderate,Moderate travel area
Guwahati,Assam,632,Moderate,Moderate travel area
Agra,Uttar Pradesh,705,Moderate,Moderate travel area
Raipur,Chhattisgarh,925,Moderate,Moderate travel area
Agra,Uttar Pradesh,427,Low,Low-risk region
Jaipur,Rajasthan,709,Moderate,Moderate travel area
Manali,Himachal Pradesh,116,Low,Low-risk region
Lucknow,Uttar Pradesh,1096,High,Remote or high-distance area
Jaipur,Rajasthan,707,Moderate,Moderate travel area
Guwahati,Assam,984,Moderate,Moderate travel area
Manali,Himachal Pradesh,397,Low,Low-risk region
Pune,Maharashtra,846,Moderate,Moderate travel area
Hyderabad,Telangana,1081,High,Remote or high-distance area
Mumbai,Maharashtra,693,Moderate,Moderate travel area
Mumbai,Maharashtra,1415,High,Remote or high-distance area
Ranchi,Jharkhand,1231,High,Remote or high-distance area
Ahmedabad,Gujarat,301,Low,Low-risk region
Bhopal,Madhya Pradesh,783,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,628,Moderate,Moderate travel area
Chennai,Tamil Nadu,534,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,202,Low,Low-risk region
Mumbai,Maharashtra,1037,High,Remote or high-distance area
Chandigarh,Chandigarh,799,Moderate,Moderate travel area
Pune,Maharashtra,939,Moderate,Moderate travel area
Hyderabad,Telangana,1307,High,Remote or high-distance area
Kolkata,West Bengal,729,Moderate,Moderate travel area
Bengaluru,Karnataka,113,Low,Low-risk region
Lucknow,Uttar Pradesh,700,Moderate,Moderate travel area
Chennai,Tamil Nadu,1406,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1125,High,Remote or high-distance area
Kolkata,West Bengal,1193,High,Remote or high-distance area
Bengaluru,Karnataka,946,Moderate,Moderate travel area
Amritsar,Punjab,608,Moderate,Moderate travel area
Goa,Goa,647,Moderate,Moderate travel area
Hyderabad,Telangana,1392,High,Remote or high-distance area
Manali,Himachal Pradesh,98,Low,Low-risk region
Nagpur,Maharashtra,1315,High,Remote or high-distance area
Bengaluru,Karnataka,667,Moderate,Moderate travel area
Manali,Himachal Pradesh,572,Moderate,Moderate travel area
Ranchi,Jharkhand,1114,High,Remote or high-distance area
New Delhi,Delhi,1330,High,Remote or high-distance area
Jaipur,Rajasthan,517,Moderate,Moderate travel area
Kolkata,West Bengal,1054,High,Remote or high-distance area
Nagpur,Maharashtra,1451,High,Remote or high-distance area
Dehradun,Uttarakhand,74,Low,Low-risk region
Shimla,Himachal Pradesh,588,Moderate,Moderate travel area
Pune,Maharashtra,827,Moderate,Moderate travel area
Ahmedabad,Gujarat,274,Low,Low-risk region
Ahmedabad,Gujarat,529,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1190,High,Remote or high-distance area
Patna,Bihar,463,Low,Low-risk region
New Delhi,Delhi,1254,High,Remote or high-distance area
Patna,Bihar,134,Low,Low-risk region
Raipur,Chhattisgarh,752,Moderate,Moderate travel area
Chandigarh,Chandigarh,540,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1496,High,Remote or high-distance area
New Delhi,Delhi,1325,High,Remote or high-distance area
Dehradun,Uttarakhand,721,Moderate,Moderate travel area
Shimla,Himachal Pradesh,957,Moderate,Moderate travel area
Chandigarh,Chandigarh,313,Low,Low-risk region
Mumbai,Maharashtra,1480,High,Remote or high-distance area
Raipur,Chhattisgarh,448,Low,Low-risk region
Bengaluru,Karnataka,217,Low,Low-risk region
New Delhi,Delhi,423,Low,Low-risk region
Amritsar,Punjab,823,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,318,Low,Low-risk region
Bengaluru,Karnataka,842,Moderate,Moderate travel area
New Delhi,Delhi,1013,High,Remote or high-distance area
Dehradun,Uttarakhand,642,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,979,Moderate,Moderate travel area
Pune,Maharashtra,1370,High,Remote or high-distance area
Thiruvananthapuram,Kerala,993,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,910,Moderate,Moderate travel area
Dehradun,Uttarakhand,1486,High,Remote or high-distance area
Patna,Bihar,1264,High,Remote or high-distance area
Bengaluru,Karnataka,755,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1060,High,Remote or high-distance area
Bengaluru,Karnataka,981,Moderate,Moderate travel area
Guwahati,Assam,1413,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1093,High,Remote or high-distance area
Nagpur,Maharashtra,634,Moderate,Moderate travel area
Guwahati,Assam,131,Low,Low-risk region
Varanasi,Uttar Pradesh,1346,High,Remote or high-distance area
Ranchi,Jharkhand,611,Moderate,Moderate travel area
New Delhi,Delhi,309,Low,Low-risk region
Dehradun,Uttarakhand,418,Low,Low-risk region
Pune,Maharashtra,1100,High,Remote or high-distance area
Amritsar,Punjab,255,Low,Low-risk region
Kolkata,West Bengal,1054,High,Remote or high-distance area
New Delhi,Delhi,1237,High,Remote or high-distance area
Raipur,Chhattisgarh,111,Low,Low-risk region
Bhopal,Madhya Pradesh,834,Moderate,Moderate travel area
Manali,Himachal Pradesh,467,Low,Low-risk region
Patna,Bihar,1490,High,Remote or high-distance area
